agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
395,113452.0,151.0,462,462,1758875250540,true
396,113452.0,30.0,463,463,1758875251000,true
397,113452.0,30.0,464,464,1758875251282,true
398,113452.0,30.0,465,465,1758875251626,true
399,113452.0,154.0,466,467,1758875251964,true
400,113452.0,112.0,468,469,1758875252259,true
401,113452.0,10.0,470,470,1758875252605,true
402,113428.4,20.0,471,471,1758875253265,true
403,113428.4,30.0,472,472,1758875253565,true
404,113428.4,30.0,473,473,1758875253862,true
405,113428.4,1.0,474,474,1758875254076,true
406,113428.4,30.0,475,475,1758875254238,true
407,113428.4,30.0,476,476,1758875254528,true
408,113428.4,30.0,477,477,1758875254829,true
409,113428.4,30.0,478,478,1758875255148,true
410,113428.4,30.0,479,479,1758875255438,true
411,113428.4,30.0,480,480,1758875255716,true
412,113428.4,30.0,481,481,1758875256013,true
413,113428.4,30.0,482,482,1758875256372,true
414,113428.4,192.0,483,484,1758875256621,true
415,113428.4,6.0,485,485,1758875256795,true
416,113428.4,120.0,486,488,1758875256912,true
417,113428.4,30.0,489,489,1758875257293,true
418,113428.4,30.0,490,490,1758875257609,true
419,113428.4,30.0,491,491,1758875257900,true
420,113428.4,87.0,492,492,1758875258018,true
421,113428.4,30.0,493,493,1758875258224,true
422,113428.4,1.0,494,494,1758875258447,true
423,113428.4,30.0,495,495,1758875258558,true
424,113428.4,30.0,496,496,1758875258944,true
425,113428.4,30.0,497,497,1758875259279,true
426,113428.4,30.0,498,498,1758875259603,true
427,113428.4,30.0,499,499,1758875259919,true
428,113428.4,30.0,500,500,1758875260207,true
429,113428.4,30.0,501,501,1758875260548,true
430,113428.4,30.0,502,502,1758875260908,true
431,113428.4,30.0,503,503,1758875261240,true
432,113428.4,1.0,504,504,1758875262809,true
433,113428.4,94.0,505,505,1758875263161,true
434,113455.1,103.0,506,506,1758875263652,true
435,113446.0,103.0,507,507,1758875263665,true
436,113450.1,103.0,508,508,1758875263674,true
437,113446.1,103.0,509,509,1758875263679,true
438,113436.9,30.0,510,510,1758875264506,true
439,113455.1,30.0,511,511,1758875264814,true
440,113455.1,1.0,512,512,1758875265112,true
441,113455.1,30.0,513,513,1758875265437,true
442,113455.1,30.0,514,514,1758875265800,true
443,113455.1,12.0,515,515,1758875266155,true
444,113455.9,91.0,516,516,1758875266757,true
445,113455.9,12.0,517,517,1758875266881,true
446,113446.0,1.0,518,518,1758875267175,true
447,113455.4,6.0,519,519,1758875270614,true
448,113455.4,30.0,520,520,1758875270973,true
449,113455.4,30.0,521,521,1758875271294,true
450,113455.4,31.0,522,523,1758875271542,true
451,113455.4,1.0,524,524,1758875277189,true
452,113455.4,3.0,525,525,1758875278249,true
453,113452.0,6.0,526,526,1758875279677,true
454,113452.0,483.0,527,527,1758875279917,true
455,113452.0,1.0,528,528,1758875280722,true
456,113452.0,1.0,529,529,1758875281561,true
457,113452.0,2.0,530,530,1758875281863,true
458,113452.0,1.0,531,531,1758875285930,true
459,113479.6,1.0,532,532,1758875290294,true
460,113479.6,1.0,533,533,1758875294664,true
461,113479.6,73.0,534,534,1758875295257,true
462,113479.6,1.0,535,535,1758875296674,true
463,113479.6,1.0,536,536,1758875299056,true
464,113470.5,1.0,537,537,1758875304734,true
465,113494.9,100.0,538,538,1758875306255,false
466,113494.9,81.0,539,539,1758875306372,true
467,113494.9,30.0,540,540,1758875306602,true
468,113494.9,30.0,541,541,1758875306938,true
469,113494.9,30.0,542,542,1758875307258,true
470,113494.9,30.0,543,543,1758875307571,true
471,113494.9,1.0,544,544,1758875309107,true
472,113494.9,84.0,545,545,1758875310210,true
473,113494.9,1.0,546,546,1758875312283,true
474,113494.9,6.0,547,547,1758875312459,true
475,113494.9,1.0,548,548,1758875313470,true
476,113494.9,2.0,549,549,1758875316845,true
477,113494.9,1.0,550,550,1758875317838,true
478,113494.9,1.0,551,551,1758875322208,true
479,113520.0,6.0,552,552,1758875325945,false
480,113520.0,632.0,553,553,1758875325950,true
481,113520.0,124.0,554,554,1758875326179,true
482,113520.0,30.0,555,555,1758875326306,true
483,113520.0,129.0,556,557,1758875326482,true
484,113520.0,115.0,558,559,1758875326657,true
485,113520.0,30.0,560,560,1758875327001,true
486,113520.0,30.0,561,561,1758875327315,true
487,113520.0,31.0,562,563,1758875327664,true
488,113520.0,7.0,564,564,1758875327952,true
489,113520.0,23.0,565,565,1758875329546,true
490,113520.0,124.0,566,567,1758875329826,true
491,113520.0,30.0,568,568,1758875330162,true
492,113520.0,87.0,569,569,1758875330281,true
493,113520.0,120.0,570,572,1758875330406,true
494,113520.0,6.0,573,573,1758875330508,true
495,113520.0,116.0,574,576,1758875330782,true
496,113520.0,30.0,577,577,1758875331157,true
497,113520.0,30.0,578,578,1758875331523,true
498,113520.0,30.0,579,579,1758875331874,true
499,113520.0,83.0,580,580,1758875332037,true
500,113520.0,31.0,581,582,1758875332170,true
501,113520.0,30.0,583,583,1758875332470,true
502,113520.0,30.0,584,584,1758875332761,true
503,113520.0,30.0,585,585,1758875333063,true
504,113520.0,30.0,586,586,1758875333385,true
505,113520.0,110.0,587,588,1758875333760,true
506,113520.0,30.0,589,589,1758875334080,true
507,113520.0,30.0,590,590,1758875334434,true
508,113520.0,30.0,591,591,1758875334751,true
509,113520.0,30.0,592,592,1758875335112,true
510,113520.0,30.0,593,593,1758875335464,true
511,113520.0,30.0,594,594,1758875335848,true
512,113520.0,15.0,595,595,1758875336185,true
513,113495.0,1.0,596,596,1758875336610,true
514,113520.0,1.0,597,597,1758875340984,true
515,113520.0,1.0,598,598,1758875343428,true
